ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0679419462,The Lost World,"Jurassic Park, the primordial zoo has been closed and the dinosaurs it once housed have been destroyed. Now, six years later, there are rumors that some of them may have survived.",Michael Crichton,1995,"Random House Digital, Inc.",434.0,Fiction
067944999X,The Kiss,"An extraordinary memoir transforms into a work of art the darkest pasage in a young woman's life : an obsessive love affiar between father and daughter that began when Kathryn harrison, twenty, was reunited with the father whose absence had haunted her youth.",Kathryn Harrison,1997,Random House (NY),232.0,Biography & Autobiography
0375703055,Ellen Foster,One of the most talked-about and endearing first novels in years bears the story of a female Huck Finn and her search for a true home. Copyright © Libri GmbH. All rights reserved.,Kaye Gibbons,1987,Vintage,144.0,Fiction
0440223822,Outrage,"A best-selling account by the author of Helter Skelter outlines the main reasons O.J. Simpson was acquitted of murder, from the jury's makeup to the incompetence of the prosecutors. Reprint.",Vincent Bugliosi,1996,,546.0,Social Science
0345325680,The good war,"Oral history evokes the innocent idealism, as well as the terror and horror, of ordinary Americans at home and abroad during World War II",Studs Terkel,1985-10-12,Ballantine Books,591.0,History
0385260075,Cat's Eye,"Elaine Risley, a successful artist, returns to Toronto, the city of her youth, to confront painful memories of the past.",Margaret Atwood,1989,New York ; Toronto : Doubleday,472.0,Fiction
0064403688,Jacob Have I Loved,"Esau have I hated . . . Sara Louise Bradshaw is sick and tired of her beautiful twin Caroline. Ever since they were born, Caroline has been the pretty one, the talented one, the better sister. Even now, Caroline seems to take everything: Louise's friends, their parents' love, her dreams for the future. For once in her life, Louise wants to be the special one. But in order to do that, she must first figure out who she is . . . and find a way to make a place for herself outside her sister's shadow.",Katherine Paterson,1990-02-02,HarperCollins,264.0,Juvenile Fiction
0618129081,The Two Towers,"After losing Gandalf and being divided from their other companions during an Orc attack, Frodo and Sam continue towards Mordor, Land of the Enemy, to destroy the Ring, accompanied only by a mysterious figure that follows them.",John Ronald Reuel Tolkien,2001,Mariner Books,725.0,Fiction
038070384X,Lullaby,"The squadroom at 5:15 on New Year's morning looked much as it did on any other day... But an exceptionally heinous crime was already sending a wave of outrage through even the veteran cops of the 87th Precinct: a wealthy couple, returning home from New Year's festivities, discovered their baby -- and the infant's teenage sitter -- murdered. Parents themselves, detectives Carella and Meyer resolve to bring in the perpetrator at any cost. Meanwhile, gang warfare is overtaking the city's streets, threatening its very foundation. A sinister song of death and destruction echoes through the 87th, and it isn't ""Auld Lang Syne.""",Ed McBain,1990,,356.0,Fiction
0380792486,Outlaw Mountain:,A joanna Brady mystery.,J. A. Jance,2000-05-02,Harper Collins,388.0,Fiction
0345296060,The two towers,"For over fifty years, J.R.R. Tolkien's peerless fantasy has accumulatedworldwide acclaim as the greatest adventure tale ever written.No other writer has created a world as distinct as Middle-earth, completewith its own geography, history, languages, and legends. Andno one has created characters as endearing as Tolkien's large-hearted, hairy-footed hobbits. Tolkien's The Lord of the Rings continues toseize the imaginations of readers of all ages, and this new three-volumepaperback edition is designed to appeal to the youngest of them.In ancient times the Rings of Power were crafted by the Elvensmiths, and Sauron, the Dark Lord, forged the One Ring, filling it withhis own power so that he could rule all others. But the One Ring wastaken from him, and though he sought it throughout Middle-earth, stillit remained lost to him . . .",John Ronald Reuel Tolkien,1981,,447.0,"Baggins, Frodo (Fictitious character)"
0399143947,Point of Origin,Virginia's chief medical examiner Kay Scarpetta matches wits with a wily killer who uses fire to mask his crimes. The case begins with a fire in which many horses die and the embers yield a human body.,Patricia Daniels Cornwell,1998,Putnam Adult,378.0,Fiction
0671876465,Mirror Dance,"The exciting follow-up to Brothers in Arms. Miles Vorkosigan is in trouble. His brother, a cloned stranger formed from tissue stolen from Miles when he was a child, wants to murder and replace him. Unfortunately, Mark has learned that without Miles, he is . . . nothing.",Lois McMaster Bujold,1995-03,Miles Vorkosigan Adventures,596.0,Fiction
0439139597,Harry Potter and the Goblet of Fire,"Young wizard-in-training Harry Potter prepares for a competition between Hogwarts School of Magic and two rival schools, develops a crush on Cho Chang, and wishes above all to be a normal fourteen-year-old.",J. K. Rowling,2000,,0.0,
0140178139,Leviathan,"NATIONAL BESTSELLER • A “compelling” (Los Angeles Times) novel of friendship, betrayal, estrangement, and the unpredictable intrusions of violence in the everyday—from “a literary original who is perfecting a genre of his own” (The Wall Street Journal) “Rich and complex . . . with fully fleshed characters, a fast-paced plot, thematic sophistication, and narrative cunning.”—The Boston Globe “Six days ago, a man blew himself up by the side of a road in northern Wisconsin.” So begins Peter Aaron’s story about his best friend, Benjamin Sachs. Sachs had a marriage Aaron envied, an intelligence he admired, a world he shared. And then suddenly, after a near-fatal fall that might or might not have been intentional, Sachs disappeared. Now Aaron must piece together the life that led to Sach’s death. His sole aim is to tell the truth and preserve it—before those who are investigating the case invent an account of their own. Leviathan is a daring and immensely moving story by an author whom The Times Literary Supplement has called “one of America’s most spectacularly inventive writers.”",Paul Auster,1993-09-01,Penguin,289.0,Fiction
