ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
055356451X,Night Sins,"A peaceful Minnesota town, where crime is something that just doesn’t happen, is about to face its worst nightmare. A young boy disappears. There are no witnesses, no clues—only a note, cleverly taunting, casually cruel. Has a cold-blooded kidnapper struck? Or is this the reawakening of a long-quiet serial killer? A tough-minded investigator on her first, make-or-break case . . . A local cop who fears that big-city evils have come to stalk his small-town home . . . Together they are hunting for a madman who knows no bounds, to protect a town that may never feel safe again.",Tami Hoag,1995-12-01,Bantam,578.0,Fiction
014025448X,At Home in Mitford,"The first novel in #1 New York Times bestselling author Jan Karon’s beloved series set in America’s favorite small town: Mitford. It's easy to feel at home in Mitford. In these high, green hills, the air is pure, the village is charming, and the people are generally lovable. Yet, Father Tim, the bachelor rector, wants something more. Enter a dog the size of a sofa who moves in and won't go away. Add an attractive neighbor who begins wearing a path through the hedge. Now, stir in a lovable but unloved boy, a mystifying jewel theft, and a secret that's sixty years old. Suddenly, Father Tim gets more than he bargained for. And readers get a rich comedy about ordinary people and their ordinary lives.",Jan Karon,1996-02-01,Penguin,561.0,Fiction
0395177111,"The Hobbit, Or, There and Back Again","Bilbo Baggins, a respectable, well-to-do hobbit, lives comfortably in his hobbit-hole until the day the wandering wizard Gandalf chooses him to take part in an adventure from which he may never return.",John Ronald Reuel Tolkien,1990,,0.0,Middle Earth (Imaginary place)
0380784505,Murder Makes Waves,"Those hilarious southern sisters, who prove that sibling rivalry never ends, are heading for a vacation at the beach. Mary Alice's flamboyant behavior aside, serious, sensible Patricia Anne looks forward to relaxing at her sister's beachfront condo in Destin, Florida, so she kisses her ever-loving spouse Fred god-bye, reminds him to water the plants and feed the dog, and the girls head south for some fin in the sun. Mary Alice loses no time in making the acquaintance of just about everyone in sight, so watching the sun go down on the beautiful shores of the Gulf of Mexico is a welcome respite as far as Patricia Anne is concerned. . .until a dead body washes up in the waves and the victim turns out to be one of Mary Alice's newfound friends. With no witnesses t the crime except a few great blue herons, the sisters have no choice but to bypass the clueless police and follow their own instinct to find the killer. Before long they_re on a murky trail of dirty real-estate deals, giant turtle habitats, and a sea of evidence pointing to a mammoth motive for murderer.",Anne George,1998-06-01,Avon,272.0,Fiction
0399144706,River's End,"A seductively suspenseful novel by the author of ""The Reef"". Traumatized by the events surrounding the breakup of her parents' marriage years ago, a young woman seeks to confront her past and know the truth about the infamous night in her life that has become a part of Hollywood history.",Nora Roberts,1999,Putnam Adult,380.0,Fiction
0515118656,The Cove,"A picturesque town. A woman on the run. An undercover agent. The first riveting novel in Catherine Coulter's #1 New York Times bestselling FBI Thriller series. Sally Brainerd can't remember what happened the night her father was murdered. Maybe she did it. Or maybe it was her poor, traumatized mother. Either way, the safest place for her is far away from Washington, D.C.. But while her aunt's home in The Cove should be a quiet refuge, Sally can't shake the feeling that there's something not quite right about the postcard perfect little town. Despite his target's checkered past and convenient memory loss, FBI Special Agent James Quinlan isn't convinced she's the killer—but maybe she knows who is. As he uses his cover to get close to Sally and unearth the memories her mind has hidden away, James can't deny his connection to the troubled woman. But as their lies and passions intertwine, Sally and James soon learn they aren't the only ones keeping deadly secrets in The Cove...",Catherine Coulter,1996-04-01,Berkley,388.0,Fiction
0345427637,The Angel of Darkness,"In one of the most critically acclaimed novels of the year, Caleb Carr-- bestselling author of The Alienist--pits Dr. Laszlo Kreizler and his colleagues against a murderer as evil as the darkest night. . . .",Caleb Carr,1998,Del Rey,772.0,Fiction
034529873X,Moreta: Dragonlady of Pern,"Anne McCaffrey draws the reader back in time to an earlier Pern to tell the story of one of Pern’s great and true heroines. An air of pleasant anticipation hung so thickly over the Halls, Holds and Weyrs of Pern that it had affected even the businesslike ways of Moreta, the Weyrwoman of Fort Weyr, where her dragon, Queen Orlith, would soon clutch. Then without warning, a runnerbeast fell ill. Soon myriads of holders, craftsmen, and dragonriders were dying; and the mysterious ailment had spread to all but the most inaccessible holds. Pern was in mortal danger. For, if dragonriders did not rise to char Thread, the parasite would devour any and all organic life it encountered. The future of the planet rested in the hands of Moreta and the other deicated, lelfless Pernese leaders. But of all their problems, the most difficult to overcome was time. . . .",Anne McCaffrey,1984-09-12,National Geographic Books,0.0,Fiction
0553560719,Dark Force Rising: Star Wars Legends (The Thrawn Trilogy),"In this essential Star Wars Legends novel, the sequel to Heir to the Empire, Grand Admiral Thrawn’s sinister plan threatens to spell doom for the fledgling New Republic and its most iconic heroes. The dying Empire’s most cunning and ruthless warlord, Grand Admiral Thrawn, has taken command of the remnants of the Imperial Fleet and launched a massive campaign aimed at the New Republic’s destruction. Meanwhile, Han Solo and Lando Calrissian race against time to find proof of treason inside the highest Republic Council—only to discover instead a ghostly fleet of warships that could bring doom to their friends and victory to their enemies. Yet most dangerous of all is a new Dark Jedi, risen from the ashes of a shrouded past, consumed by bitterness, and scheming to corrupt Luke Skywalker to the dark side.",Timothy Zahn,1993-02-01,Random House Worlds,450.0,Fiction
0345337662,Interview with the Vampire,"The spellbinding classic that started it all, from the #1 New York Times bestselling author—the inspiration for the hit television series “A magnificent, compulsively readable thriller . . . Rice begins where Bram Stoker and the Hollywood versions leave off and penetrates directly to the true fascination of the myth—the education of the vampire.”—Chicago Tribune Here are the confessions of a vampire. Hypnotic, shocking, and chillingly sensual, this is a novel of mesmerizing beauty and astonishing force—a story of danger and flight, of love and loss, of suspense and resolution, and of the extraordinary power of the senses. It is a novel only Anne Rice could write.",Anne Rice,1991-09-13,Ballantine Books,369.0,Fiction
0060930535,The Poisonwood Bible,"Nathan Price, a evangelical Baptist who in 1959 has taken his wife and four daughters on a mission to the Belgian Congo, finds that their traditions are no longer secure in this very different world. Reprint. 250,000 first printing.",Barbara Kingsolver,1999-10-01,Perennial,560.0,Fiction
067102535X,"Last Dance, Last Chance","“America’s best true-crime writer” (Kirkus Reviews) presents an all-new collection of crime stories drawn from her private files and featuring the riveting case of a fraudulent doctor whose lifelong deceptions had deadly consequences. Dr. Anthony Pignataro was a cosmetic surgeon and a famed medical researcher whose flashy red Lamborghini and flamboyant lifestyle in western New York State suggested a highly successful career. But appearances can be deceiving—and, for the doctor’s wife, very nearly deadly. Now, the motivations of the classic sociopath are plumbed with chilling accuracy by Ann Rule. Along with other shocking true cases, this worldwide headline-making case will have you turning pages in disbelief that a trusted medical professional could sink to the depths of greed, manipulation, and self-aggrandizement where even slow, deliberate murder is not seen for what it truly is: pure evil.",Ann Rule,2003-01-01,Pocket Books,0.0,True Crime
0671758896,"Loves Music, Loves to Dance",A killer draws his victims from the women who respond to his personal ads in trendy New York magazines.,Mary Higgins Clark,1992-03,Simon and Schuster,339.0,Fiction
0061000027,Dance Hall of the Dead,"Two young boys suddenly disappear. One of them, a Zuni, leaves a pool of blood behind. Lt. Joe Leaphorn of the Navajo Tribal Police tracks the brutal killer. Three things complicate the search: an archeological dig, a steel hypodermic needle, and the strange laws of the Zuni. Compelling, terrifying, and highly suspenseful, ""Dance Hall of the Dead"" never relents from first page til last.",Tony Hillerman,1990-04-04,Harper Collins,276.0,Fiction
0679722637,The Thin Man,"Dashiell Hammett's classic The Thin Man introduced the world to Nick and Nora Charles, further made famous by the popular Thin Man films. With a new introduction by Denise Mina. Nick Charles seems to find trouble wherever he goes. He thinks his sleuthing days are behind him when Julia Wolf, a former acquaintance, turns up dead. Nick—thanks to some persuasion from his enchanting wife, Nora—finds himself falling back into old habits and making a few polite inquiries. The prime suspect, Julia’s lover and boss Clyde Miller Wynant, has vanished without a trace. Everyone is after him, but Nick is not so sure Wynant is the culprit. And when another dubious figure bursts into their bedroom, waving a loaded handgun, it seems Nick and Nora’s adventure is only just beginning. Nick and Nora Charles are among Dashiell Hammett’s most alluring creations: a rich, glamourous couple who solve homicides in between wisecracks and martinis. At once knowing and unabashedly romantic, The Thin Man is a murder mystery that doubles as a sophisticated comedy of manners.",Dashiell Hammett,1989-07-17,Vintage Crime/Black Lizard,225.0,Fiction
0671739735,Velvet Angel,"She came to him as a precious gift, a naked angel rolled in a rug. Once he gazed into her green eyes, saw her tangle of honey blonde hair, he was undone with passion. Elizabeth would never surrender. He was a hated Montgomery -- she was a Chatworth -- and the blood war between their families raged on, a wildfire of rape, murder, and betrayal. Elizabeth vowed to fight the handsome lord, to resist the burning desire in his eyes -- no matter how great the temptation.",Jude Deveraux,1991-01-01,Pocket Books,352.0,Fiction
0425157547,Drink with the Devil,"Former IRA terrorist Sean Dillon, now a British secret service agent, is ordered to recover a shipment of gold from a sunken barge before the Protestant paramilitary do so. The Protestants, who stole the gold in the first place, intend to use it to escalate the war and scuttle the peace talks.",Jack Higgins,1997,Berkley,340.0,Fiction
0345434250,Nimisha's Ship,"After being stranded light years from home in an experimental starship, Lady Nimisha BoyntonRondymensedirector of the Rondymense Ship Yardsmust return to defend the yards against a rival branch of her family. Reprint.",Anne McCaffrey,2000-01,Del Rey Books,361.0,Fiction
044021680X,James Clavell's Gai-Jin,The new leader of the noble family meets a beautiful French woman in Japan in the 1860s.,James Clavell,1994,,1106.0,Fiction
0446610399,,,,,,,
0425182908,Isle of Dogs,"Patricia Cornwell’s novels of big-city police have taken this classic genre to a new level. Now, with this #1 New York Times bestselling novel, she outdoes herself, with a wry tale of life and turmoil behind the blue wall. Chaos breaks loose when the governor of Virginia orders that speed traps be painted on all streets and highways, and warns that speeders will be caught by monitoring aircraft flying overhead. But the eccentric island of Tangier, fourteen miles off the coast of Virginia in Chesapeake Bay, responds by declaring war on its own state. Judy Hammer, newly installed as the superintendent of the Virginia State Police, and Andy Brazil, a state trooper and Hammer’s right hand and confidant, find themselves at their wits’ end as they try to protect the public from the politicians—and vice versa—in this pitch-perfect, darkly comic romp.",Patricia Cornwell,2002-10-01,Penguin,447.0,Fiction
0060094397,,,,,,,
0385315147,Smilla's Sense of Snow,"She thinks more highly of snow and ice than she does of love. She lives in a world of numbers, science and memories--a dark, exotic stranger in a strange land. And now Smilla Jaspersen is convinced she has uncovered a shattering crime... It happened in the Copenhagen snow. A six-year-old boy, a Greenlander like Smilla, fell to his death from the top of his apartment building. While the boy's body is still warm, the police pronounce his death an accident. But Smilla knows her young neighbor didn't fall from the roof on his own. Soon she is following a path of clues as clear to her as footsteps in the snow. For her dead neighbor, and for herself, she must embark on a harrowing journey of lies, revelation and violence that will take her back to the world of ice and snow from which she comes, where an explosive secret waits beneath the ice....",Peter Hoeg,1995-10-01,Delta,482.0,Fiction
0449221504,"""K"" is for Killer","When Kinsey Millhone answers her office door late one night, she lets in more darkness than she realizes. Janice Kepler is a grieving mother who can't let the death of her beautiful daughter Lorna alone. The police agree that Lorna was murdered, but a suspect was never apprehended and the trail is now ten months cold. Kinsey pieces together Lorna's young life: a dull day job a the local water treatment plant spiced by sidelines in prostitution and pornography. She tangles with Lorna's friends: a local late-night DJ; a sweet, funny teenaged hooker; Lorna's sloppy landlord and his exotic wife. But to find out which one, if any, turned killer, Kinsey will have to inhabit a netherworld from which she may never return.",Sue Grafton,1995,Fawcett,322.0,Fiction
0060502312,Breaking All the Rules,"In this delightful return to Paradise Beach, Erin Kelly decides to fight for her mentor, who has been declared incompetent by the courts, using every devious trick the older woman ever taught her. Erin goes up against attorney Richard Wesley III. Richard finds Erin exciting, and a little ""war"" never hurt anyone. Although he's secretly on Erin's side, he is bound by law to do what he must--even if it costs him her love.",Sue Civil-Brown,2002-09-03,Harper Collins,388.0,Fiction
0345310799,Stallion Gate,"This is a novel about the most important ten seconds in history. Stallion Gate, a magnificent successor to Gorky Park, is a powerful sensual idyll, a blend of love and betrayal, of humor and cultures in collision, of jazz and war. In a New Mexico blizzard, four men cross a barbed-wire fence at Stallion Gate to select the test site for the first automatic weapon. They are Oppenheimer, the physicist; Groves, the general; Fuchs, the spy. The fourth man is Sergeant Joe Peña, a hero, informer, fighter, musician, Indian. Oppenheimer and Groves have hidden Los Alamos on a mesa surrounded by vast Indian reservations. It is the most secret installation of the war, the future encompassed by the past. To it come soldiers, roughnecks and scientists, including Anna Weiss, a mathematician and refugee from the Holocaust with whom Joe falls in love.",Martin Cruz Smith,1987-06-12,Ballantine Books,385.0,Fiction
0345382447,The Child Queen,The story of a love and a treachery that would live for all time. Guinevere and Arthur. Lancelot and Merlin and Morgan Le Fay -- all the names of myth are given flesh and blood in this Del Rey Discovery of the Year book!,Nancy McKenzie,1994,Del Rey,324.0,Fiction
0156027321,,,,,,,
068485029X,Thrill!,"When movie director Richard Barry agrees to work with his wife on a new film, he never dreamed she would ask his ex-wife to be the film's star, but now that they are all working together, they begin to learn secrets about each other that are best forgotten.",Jackie Collins,1998,,490.0,Fiction
0671673688,While My Pretty One Sleeps,"A stunning tale of murder, glamour, and romance, While My Pretty One Sleeps is the most exciting novel yet from Mary Higgins Clark, the Queen of Suspense. Neeve Kearny may be the only person in New York worried about the disappearance of Ethel Lambston. Ethel, a bestselling author famous for her juicy exposés, is one of the best customers at Neeve’s exclusive Madison Avenue boutique. But Ethel’s ex-husband, her parasitical nephew, and the fashion moguls skewered in her latest article all have reason to be glad she’s no longer around. When Ethel Lambston is found with her throat cut, Neeve’s memories of her mother’s long-unsolved murder loom up once again. Now as an innocent witness in the Lambston investigation, Neeve is drawn into a new nightmare...a sinister labyrinth of greed and ambition that will lead her into mortal danger...",Mary Higgins Clark,1990-07-01,Pocket Books,324.0,Fiction
0553279556,"""E"" is for Evidence",Kinsey Millhone has been framed for a crime she didn't commit and must now uncover the truth or face losing everything she has worked for.,Sue Grafton,1989,Crimeline,216.0,Fiction
